================================================================================
DAY 13 - RATIO EDGE CASE REVIEW
================================================================================
BHARTIARTL | Mar 2019 | ROCE | Computed=18.48 | Source=13.10 | Difference=5.38 | Category=Version Difference
BHARTIARTL | Mar 2020 | ROE | Computed=-39.75 | Source=14.90 | Difference=54.65 | Category=Formula Discrepancy
BHARTIARTL | Mar 2020 | ROCE | Computed=22.45 | Source=13.10 | Difference=9.35 | Category=Version Difference
BHARTIARTL | Mar 2021 | ROE | Computed=-20.97 | Source=14.90 | Difference=35.87 | Category=Formula Discrepancy
BHARTIARTL | Mar 2021 | ROCE | Computed=27.23 | Source=13.10 | Difference=14.13 | Category=Version Difference
BHARTIARTL | Mar 2022 | ROCE | Computed=31.39 | Source=13.10 | Difference=18.29 | Category=Version Difference
BHARTIARTL | Mar 2023 | ROCE | Computed=29.84 | Source=13.10 | Difference=16.74 | Category=Version Difference
BHARTIARTL | Mar 2024 | ROCE | Computed=33.85 | Source=13.10 | Difference=20.75 | Category=Formula Discrepancy
BEL | Mar 2013 | ROE | Computed=151.83 | Source=26.30 | Difference=125.53 | Category=Formula Discrepancy
BEL | Mar 2013 | ROCE | Computed=22.53 | Source=34.60 | Difference=12.07 | Category=Version Difference
BEL | Mar 2014 | ROE | Computed=136.00 | Source=26.30 | Difference=109.70 | Category=Formula Discrepancy
BEL | Mar 2015 | ROE | Computed=171.00 | Source=26.30 | Difference=144.70 | Category=Formula Discrepancy
BEL | Mar 2016 | ROE | Computed=111.42 | Source=26.30 | Difference=85.12 | Category=Formula Discrepancy
BEL | Mar 2017 | ROE | Computed=101.53 | Source=26.30 | Difference=75.23 | Category=Formula Discrepancy
BEL | Mar 2017 | ROCE | Computed=41.14 | Source=34.60 | Difference=6.54 | Category=Version Difference
BEL | Mar 2018 | ROE | Computed=46.16 | Source=26.30 | Difference=19.86 | Category=Version Difference
BEL | Mar 2018 | ROCE | Computed=25.89 | Source=34.60 | Difference=8.71 | Category=Version Difference
BEL | Mar 2019 | ROE | Computed=38.51 | Source=26.30 | Difference=12.21 | Category=Version Difference
BEL | Mar 2020 | ROE | Computed=33.18 | Source=26.30 | Difference=6.88 | Category=Version Difference
BEL | Mar 2020 | ROCE | Computed=27.95 | Source=34.60 | Difference=6.65 | Category=Version Difference
BEL | Mar 2021 | ROE | Computed=35.59 | Source=26.30 | Difference=9.29 | Category=Version Difference
BEL | Mar 2022 | ROE | Computed=34.78 | Source=26.30 | Difference=8.48 | Category=Version Difference
BEL | Mar 2022 | ROCE | Computed=26.40 | Source=34.60 | Difference=8.20 | Category=Version Difference
BEL | Mar 2023 | ROE | Computed=39.81 | Source=26.30 | Difference=13.51 | Category=Version Difference
