id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sales,net_profit,operating_profit,broad_sector
4291,SHRIRAMFIN,Mar 2013,20.87,31.09,19.94,4.55,0.71,0.15,-8400.0,0.58,12.0,279.0,11.0,33386.0,-8359.0,19.21,30.35,20.11,1.0,7009.0,1463.0,2179.0,Financials
3474,BAJFINANCE,Mar 2022,22.21,37.55,16.08,3.78,-700.65,0.15,-30743.0,20.06,116.0,1402.0,17.0,165232.0,-37090.0,18.75,23.93,23.31,1.0,31641.0,7028.0,11880.0,Financials
3472,BAJFINANCE,Mar 2020,19.96,34.73,16.28,4.02,1020.89,0.16,-33170.0,33.21,87.0,1402.0,11.0,129806.0,-24412.0,18.75,23.93,23.31,1.0,26374.0,5264.0,9159.0,Financials
3471,BAJFINANCE,Mar 2019,21.61,29.5,20.28,5.16,422.15,0.15,-34441.0,29.1,69.0,1402.0,9.0,101588.0,-29062.0,18.75,23.93,23.31,1.0,18487.0,3995.0,5454.0,Financials
3470,BAJFINANCE,Mar 2018,19.58,32.28,15.75,4.2,414.6,0.15,-19491.0,8.43,43.0,1402.0,9.0,66557.0,-20566.0,18.75,23.93,23.31,1.0,12746.0,2496.0,4115.0,Financials
3469,BAJFINANCE,Mar 2017,18.42,32.6,19.12,5.13,149.05,0.16,-13486.0,30.56,33.0,1402.0,11.0,49250.0,-10439.0,18.75,23.93,23.31,1.0,9970.0,1836.0,3250.0,Financials
3468,BAJFINANCE,Mar 2016,17.52,32.25,17.22,4.99,68.03,0.16,-10557.0,9.41,24.0,1402.0,10.0,37025.0,-9870.0,18.75,23.93,23.31,1.0,7299.0,1279.0,2354.0,Financials
3467,BAJFINANCE,Mar 2015,16.65,32.49,18.71,5.55,68.35,0.16,-7424.0,6.68,18.0,1402.0,10.0,26655.0,-7064.0,18.75,23.93,23.31,1.0,5392.0,898.0,1752.0,Financials
3465,BAJAJHLDNG,Mar 2024,432.73,91.77,13.58,0.0,3764.5,0.03,1469.0,27.73,653.0,5375.0,20.0,63.0,1941.0,31.84,19.44,19.88,1.0,1702.0,7365.0,1562.0,Financials
3464,BAJAJHLDNG,Mar 2023,947.51,72.8,11.19,0.0,721.86,0.01,1591.0,26.25,436.0,5375.0,28.0,93.0,1728.0,31.84,19.44,19.88,1.0,522.0,4946.0,380.0,Financials
3463,BAJAJHLDNG,Mar 2022,852.48,75.83,9.63,0.0,1421.0,0.01,1459.0,31.2,364.0,5375.0,32.0,114.0,1610.0,31.84,19.44,19.88,1.0,484.0,4126.0,367.0,Financials
